Creative Commons Attribution Share Alike 1.0,CC-BY-SA-1.0,CC-BY,,License Text
Creative Commons Attribution Share Alike 2.0,CC-BY-SA-2.0,CC-BY,,License Text
Creative Commons Attribution Share Alike 2.5,CC-BY-SA-2.5,CC-BY,,License Text
Creative Commons Attribution Share Alike 3.0,CC-BY-SA-3.0,CC-BY,,License Text
Creative Commons Attribution Share Alike 4.0,CC-BY-SA-4.0,CC-BY,,License Text
Creative Commons Zero v1.0 Universal,CC0-1.0,CC0,,License Text
Crossword License,Crossword,Crossword,,License Text
CrystalStacker License,CrystalStacker,CrystalStacker,,License Text
CUA Office Public License v1.0,CUA-OPL-1.0,CUA-OPL,Y,License Text
Cube License,Cube,Cube,,License Text
curl License,curl,curl,,License Text
Deutsche Freie Software Lizenz,D-FSL-1.0,D-FSL,,License Text
diffmark license,diffmark,diffmark,,License Text
Do What The F*ck You Want To Public License,WTFPL,WTFPL,,License Text
DOC License,DOC,DOC,,License Text
Dotseqn License,Dotseqn,Dotseqn,,License Text
DSDP License,DSDP,DSDP,,License Text
dvipdfm License,dvipdfm,dvipdfm,,License Text
Eclipse Public License 1.0,EPL-1.0,EPL,Y,License Text
Educational Community License v1.0,ECL-1.0,ECL,Y,License Text
Educational Community License v2.0,ECL-2.0,ECL,Y,License Text
eGenix.com Public License 1.1.0,eGenix,eGenix,,License Text
Eiffel Forum License v1.0,EFL-1.0,EFL,Y,License Text
Eiffel Forum License v2.0,EFL-2.0,EFL,Y,License Text
Enlightenment License (e16),MIT-advertising,MIT-advertising,,License Text
enna License,MIT-enna,MIT-enna,,License Text
Entessa Public License v1.0,Entessa,Entessa,Y,License Text
Erlang Public License v1.1,ErlPL-1.1,ErlPL,,License Text
EU DataGrid Software License,EUDatagrid,EUDatagrid,Y,License Text
European Union Public License 1.0,EUPL-1.0,EUPL,,License Text
European Union Public License 1.1,EUPL-1.1,EUPL,Y,License Text
Eurosym License,Eurosym,Eurosym,,License Text
Fair License,Fair,Fair,Y,License Text
feh License,MIT-feh,MIT-feh,,License Text
Frameworx Open License 1.0,Frameworx-1.0,Frameworx,Y,License Text
FreeImage Public License v1.0,FreeImage,FreeImage,,License Text
Freetype Project License,FTL,FTL,,License Text
FSF Unlimited License,FSFUL,FSFUL,,License Text
FSF Unlimited License (with License Retention),FSFULLR,FSFULLR,,License Text
Giftware License,Giftware,Giftware,,License Text
GL2PS License,GL2PS,GL2PS,,License Text
Glulxe License,Glulxe,Glulxe,,License Text
GNU Affero General Public License v3.0,AGPL-3.0,AGPL,Y,License Text
GNU Free Documentation License v1.1,GFDL-1.1,GFDL,,License Text
GNU Free Documentation License v1.2,GFDL-1.2,GFDL,,License Text
GNU Free Documentation License v1.3,GFDL-1.3,GFDL,,License Text
GNU General Public License v1.0 only,GPL-1.0,GPL,,License Text
GNU General Public License v2.0 only,GPL-2.0,GPL,Y,License Text
GNU General Public License v3.0 only,GPL-3.0,GPL,Y,License Text
GNU Lesser General Public License v2.1 only,LGPL-2.1,LGPL,Y,License Text
GNU Lesser General Public License v3.0 only,LGPL-3.0,LGPL,Y,License Text
GNU Library General Public License v2 only,LGPL-2.0,LGPL,Y,License Text
gnuplot License,gnuplot,gnuplot,,License Text
gSOAP Public License v1.3b,gSOAP-1.3b,gSOAP,,License Text
Haskell Language Report License,HaskellReport,HaskellReport,,License Text
Historic Permission Notice and Disclaimer,HPND,HPND,Y,License Text
IBM PowerPC Initialization and Boot Software,IBM-pibs,IBM-pibs,,License Text
IBM Public License v1.0,IPL-1.0,IPL,Y,License Text
ICU License,ICU,ICU,,License Text
ImageMagick License,ImageMagick,ImageMagick,,License Text
iMatix Standard Function Library Agreement,iMatix,iMatix,,License Text
Imlib2 License,Imlib2,Imlib2,,License Text
Independent JPEG Group License,IJG,IJG,,License Text
Info-ZIP License,Info-ZIP,Info-ZIP,,License Text
Intel ACPI Software License Agreement,Intel-ACPI,Intel-ACPI,,License Text
Intel Open Source License,Intel,Intel,Y,License Text
Interbase Public License v1.0,Interbase-1.0,Interbase,,License Text
IPA Font License,IPA,IPA,Y,License Text
ISC License,ISC,ISC,Y,License Text
JasPer License,JasPer-2.0,JasPer,,License Text
JSON License,JSON,JSON,,License Text
LaTeX Project Public License v1.0,LPPL-1.0,LPPL,,License Text
LaTeX Project Public License v1.1,LPPL-1.1,LPPL,,License Text
LaTeX Project Public License v1.2,LPPL-1.2,LPPL,,License Text
LaTeX Project Public License v1.3a,LPPL-1.3a,LPPL,,License Text
LaTeX Project Public License v1.3c,LPPL-1.3c,LPPL,Y,License Text
Latex2e License,Latex2e,Latex2e,,License Text
Lawrence Berkeley National Labs BSD variant license,BSD-3-Clause-LBNL,BSD,,License Text
Leptonica License,Leptonica,Leptonica,,License Text
Lesser General Public License For Linguistic Resources,LGPLLR,LGPLLR,,License Text
libpng License,Libpng,Libpng,,License Text
libtiff License,libtiff,libtiff,,License Text
Lucent Public License v1.02,LPL-1.02,LPL,Y,License Text
Lucent Public License Version 1.0,LPL-1.0,LPL,Y,License Text
MakeIndex License,MakeIndex,MakeIndex,,License Text
Matrix Template Library License,MTLL,MTLL,,License Text
Microsoft Public License,MS-PL,MS-PL,Y,License Text
Microsoft Reciprocal License,MS-RL,MS-RL,Y,License Text
MirOS Licence,MirOS,MirOS,Y,License Text
MIT +no-false-attribs license,MITNFA,MITNFA,,License Text
MIT License,MIT,MIT,Y,License Text
Motosoto License,Motosoto,Motosoto,Y,License Text
Mozilla Public License 1.0,MPL-1.0,MPL,Y,License Text
Mozilla Public License 1.1,MPL-1.1,MPL,Y,License Text
Mozilla Public License 2.0,MPL-2.0,MPL,Y,License Text
Mozilla Public License 2.0 (no copyleft exception),MPL-2.0-no-copyleft-exception,MPL,Y,License Text
mpich2 License,mpich2,mpich2,,License Text
Multics License,Multics,Multics,Y,License Text
Mup License,Mup,Mup,,License Text
NASA Open Source Agreement 1.3,NASA-1.3,NASA,Y,License Text
Naumen Public License,Naumen,Naumen,Y,License Text
Net Boolean Public License v1,NBPL-1.0,NBPL,,License Text
NetCDF license,NetCDF,NetCDF,,License Text
Nethack General Public License,NGPL,NGPL,Y,License Text
Netizen Open Source License,NOSL,NOSL,,License Text
Netscape Public License v1.0,NPL-1.0,NPL,,License Text
Netscape Public License v1.1,NPL-1.1,NPL,,License Text
Newsletr License,Newsletr,Newsletr,,License Text
No Limit Public License,NLPL,NLPL,,License Text
Nokia Open Source License,Nokia,Nokia,Y,License Text
Non-Profit Open Software License 3.0,NPOSL-3.0,NPOSL,Y,License Text
Noweb License,Noweb,Noweb,,License Text
NRL License,NRL,NRL,,License Text
NTP License,NTP,NTP,Y,License Text
Nunit License,Nunit,Nunit,,License Text
OCLC Research Public License 2.0,OCLC-2.0,OCLC,Y,License Text
ODC Open Database License v1.0,ODbL-1.0,ODbL,,License Text
ODC Public Domain Dedication & License 1.0,PDDL-1.0,PDDL,,License Text
Open CASCADE Technology Public License,OCCT-PL,OCCT-PL,,License Text
Open Group Test Suite License,OGTSL,OGTSL,Y,License Text
Open LDAP Public License 2.2.2,OLDAP-2.2.2,OLDAP,,License Text
Open LDAP Public License v1.1,OLDAP-1.1,OLDAP,,License Text
Open LDAP Public License v1.2,OLDAP-1.2,OLDAP,,License Text
Open LDAP Public License v1.3,OLDAP-1.3,OLDAP,,License Text
Open LDAP Public License v1.4,OLDAP-1.4,OLDAP,,License Text
Open LDAP Public License v2.0 (or possibly 2.0A and 2.0B),OLDAP-2.0,OLDAP,,License Text
Open LDAP Public License v2.0.1,OLDAP-2.0.1,OLDAP,,License Text
Open LDAP Public License v2.1,OLDAP-2.1,OLDAP,,License Text
Open LDAP Public License v2.2,OLDAP-2.2,OLDAP,,License Text
Open LDAP Public License v2.2.1,OLDAP-2.2.1,OLDAP,,License Text
Open LDAP Public License v2.3,OLDAP-2.3,OLDAP,,License Text
Open LDAP Public License v2.4,OLDAP-2.4,OLDAP,,License Text
Open LDAP Public License v2.5,OLDAP-2.5,OLDAP,,License Text
Open LDAP Public License v2.6,OLDAP-2.6,OLDAP,,License Text
Open LDAP Public License v2.7,OLDAP-2.7,OLDAP,,License Text
Open LDAP Public License v2.8,OLDAP-2.8,OLDAP,,License Text
Open Market License,OML,OML,,License Text
Open Public License v1.0,OPL-1.0,OPL,,License Text
Open Software License 1.0,OSL-1.0,OSL,Y,License Text
Open Software License 1.1,OSL-1.1,OSL,,License Text
Open Software License 2.0,OSL-2.0,OSL,Y,License Text
Open Software License 2.1,OSL-2.1,OSL,Y,License Text
Open Software License 3.0,OSL-3.0,OSL,Y,License Text
OpenSSL License,OpenSSL,OpenSSL,,License Text
PHP License v3.0,PHP-3.0,PHP,Y,License Text
PHP License v3.01,PHP-3.01,PHP,,License Text
Plexus Classworlds License,Plexus,Plexus,,License Text
PostgreSQL License,PostgreSQL,PostgreSQL,Y,License Text
psfrag License,psfrag,psfrag,,License Text
psutils License,psutils,psutils,,License Text
Python License 2.0,Python-2.0,Python,Y,License Text
Q Public License 1.0,QPL-1.0,QPL,Y,License Text
Qhull License,Qhull,Qhull,,License Text
Rdisc License,Rdisc,Rdisc,,License Text
RealNetworks Public Source License v1.0,RPSL-1.0,RPSL,Y,License Text
Reciprocal Public License 1.1,RPL-1.1,RPL,Y,License Text
Reciprocal Public License 1.5,RPL-1.5,RPL,Y,License Text
Red Hat eCos Public License v1.1,RHeCos-1.1,RHeCos,,License Text
Ricoh Source Code Public License,RSCPL,RSCPL,Y,License Text
RSA Message-Digest License,RSA-MD,RSA-MD,,License Text
Ruby License,Ruby,Ruby,,License Text
Sax Public Domain Notice,SAX-PD,SAX-PD,,License Text
Saxpath License,Saxpath,Saxpath,,License Text
SCEA Shared Source License,SCEA,SCEA,,License Text
Scheme Widget Library (SWL) Software License Agreement,SWL,SWL,,License Text
Sendmail License,Sendmail,Sendmail,,License Text
SGI Free Software License B v1.0,SGI-B-1.0,SGI-B,,License Text
SGI Free Software License B v1.1,SGI-B-1.1,SGI-B,,License Text
SGI Free Software License B v2.0,SGI-B-2.0,SGI-B,,License Text
SIL Open Font License 1.0,OFL-1.0,OFL,,License Text
SIL Open Font License 1.1,OFL-1.1,OFL,Y,License Text
Simple Public License 2.0,SimPL-2.0,SimPL,Y,License Text
Sleepycat License,Sleepycat,Sleepycat,Y,License Text
SNIA Public License 1.1,SNIA,SNIA,,License Text
Spencer License 86,Spencer-86,Spencer,,License Text
Spencer License 94,Spencer-94,Spencer,,License Text
Spencer License 99,Spencer-99,Spencer,,License Text
Standard ML of New Jersey License,SMLNJ,SMLNJ,,License Text
SugarCRM Public License v1.1.3,SugarCRM-1.1.3,SugarCRM,,License Text
Sun Industry Standards Source License v1.1,SISSL,SISSL,Y,License Text
Sun Industry Standards Source License v1.2,SISSL-1.2,SISSL,,License Text
Sun Public License v1.0,SPL-1.0,SPL,Y,License Text
Sybase Open Watcom Public License 1.0,Watcom-1.0,Watcom,Y,License Text
TCL/TK License,TCL,TCL,,License Text
The Unlicense,Unlicense,Unlicense,,License Text
TMate Open Source License,TMate,TMate,,License Text
TORQUE v2.5+ Software License v1.1,TORQUE-1.1,TORQUE,,License Text
Trusster Open Source License,TOSL,TOSL,,License Text
Unicode Terms of Use,Unicode-TOU,Unicode-TOU,,License Text
Universal Permissive License v1.0,UPL-1.0,UPL,Y,License Text
University of Illinois/NCSA Open Source License,NCSA,NCSA,Y,License Text
Vim License,Vim,Vim,,License Text
VOSTROM Public License for Open Source,VOSTROM,VOSTROM,,License Text
Vovida Software License v1.0,VSL-1.0,VSL,Y,License Text
W3C Software Notice and License (1998-07-20),W3C-19980720,W3C-19980720,,License Text
W3C Software Notice and License (2002-12-31),W3C,W3C,Y,License Text
Wsuipa License,Wsuipa,Wsuipa,,License Text
X.Net License,Xnet,Xnet,Y,License Text
X11 License,X11,X11,,License Text
Xerox License,Xerox,Xerox,,License Text
XFree86 License 1.1,XFree86-1.1,XFree86,,License Text
xinetd License,xinetd,xinetd,,License Text
XPP License,xpp,xpp,,License Text
XSkat License,XSkat,XSkat,,License Text
Yahoo! Public License v1.0,YPL-1.0,YPL,,License Text
Yahoo! Public License v1.1,YPL-1.1,YPL,,License Text
Zed License,Zed,Zed,,License Text
Zend License v2.0,Zend-2.0,Zend,,License Text
Zimbra Public License v1.3,Zimbra-1.3,Zimbra,,License Text
Zimbra Public License v1.4,Zimbra-1.4,Zimbra,,License Text
zlib License,Zlib,Zlib,Y,License Text
zlib/libpng License with Acknowledgement,zlib-acknowledgement,Zlib,,License Text
Zope Public License 1.1,ZPL-1.1,ZPL,,License Text
Zope Public License 2.0,ZPL-2.0,ZPL,Y,License Text
Zope Public License 2.1,ZPL-2.1,ZPL,,License Text
